Good           Sumit     111101405231982 21 8     212   1232B
Good           Alexander 231403309041921082125 657100  81266A
Bad            N$ame     111101405231982 21 8     212   1232B
Bad            Acct      0A0001405231982 21 8     212   1232B
Bad            Sum       111101205231982 21 8     212   1232B
Bad            B-month   111101413121892111 8     212   1232B
Bad            B-day     1111014126A1982021 8     212   1232B
Bad            B-year    11110141213?005 -2 8     212   1232B
Bad            balance   111101405231982 21 8    1000-  3000B
Good           balance   111101405231982 21 8    1000-    10B
Good           Credit-A  111101405231982 21125   1000-    10A
Good           Credit-C  111101405231982 21 2    1000-    10C
Bad            Credit-A  111101405231982 21 25   1000-    10A
Good           Credit-D  111101405231982 21 25   1000-    10D
Good           Sumit     111101405231982 21 8     212   1232B
Good           Alexander 231403309041921082125 657100  81266A
Bad            N$ame     111101405231982 21 8     212   1232B
Bad            Acct      0A0001405231982 21 8     212   1232B
Bad            Sum       111101205231982 21 8     212   1232B
Bad            B-month   111101413121892111 8     212   1232B
Bad            B-day     1111014126A1982021 8     212   1232B
Bad            B-year    11110141213?005 -2 8     212   1232B
Bad            balance   111101405231982 21 8    1000-  3000B
Good           balance   111101405231982 21 8    1000-    10B
Good           Credit-A  111101405231982 21125   1000-    10A
Good           Credit-C  111101405231982 21 2    1000-    10C
Bad            Credit-A  111101405231982 21 25   1000-    10A
Good           Credit-D  111101405231982 21 25   1000-    10D
